nitrogen,phosphorus,potassium,ph,rainfall,temperature,humidity,soil_type,season,region,irrigation,crop
108.28,63.89,105.5,7.2,467.79,20.86,54.15,loamy,dry,highland,1,onion
105.57,73.32,136.92,6.2,481.89,23.58,62.07,loamy,transitional,sub_humid,1,tomato
85.0,9.0,53.0,6.45,28.79,28.21,92.87,sandy,transitional,sub_humid,0,muskmelon
53.0,67.0,17.0,7.3,61.47,31.78,69.02,clay,short_rains,coastal,1,blackgram
62.95,41.84,83.17,6.6,858.77,29.42,73.04,loamy,long_rains,sub_humid,1,cassava
37.04,67.59,59.85,6.5,695.22,29.12,63.21,sandy,long_rains,coastal,0,groundnut
100.92,64.79,104.25,7.4,411.22,22.37,51.56,loamy,dry,highland,1,onion
39.0,60.0,21.0,6.97,64.73,34.9,63.6,clay,short_rains,coastal,0,blackgram
65.21,43.85,68.52,5.6,731.81,29.76,59.18,loamy,dry,semi_arid,1,mango
185.65,56.28,189.08,6.2,1470.55,25.78,77.06,clay,long_rains,coastal,1,banana
99.01,66.37,117.9,6.0,516.39,19.23,47.3,sandy,dry,semi_arid,1,onion
111.0,6.0,53.0,6.31,46.06,26.49,88.59,sandy,short_rains,semi_arid,1,watermelon
103.15,78.57,135.12,6.4,558.69,22.0,60.65,silty,transitional,highland,1,tomato
100.39,87.81,142.48,6.0,569.01,23.43,60.56,loamy,dry,highland,0,tomato
58.68,38.85,33.66,6.1,369.5,30.87,46.07,sandy,dry,arid,0,millet
93.17,52.31,51.31,6.3,660.98,21.89,67.64,loamy,long_rains,sub_humid,1,maize
134.67,84.47,126.0,5.6,651.86,13.26,73.24,silty,long_rains,highland,0,potato
125.34,57.5,44.93,6.4,1923.09,26.96,88.23,silty,long_rains,sub_humid,1,rice
21.0,9.0,40.0,5.96,105.62,24.51,90.64,loamy,dry,arid,0,pomegranate
89.46,56.78,46.67,6.4,742.68,22.54,69.24,silty,short_rains,highland,1,maize
135.74,66.47,96.29,6.2,705.25,16.84,65.65,clay,long_rains,highland,0,cabbage
122.15,61.73,97.27,6.1,1625.37,20.41,76.36,silty,long_rains,highland,0,coffee
4.0,43.0,18.0,8.84,72.98,29.03,61.09,sandy,dry,semi_arid,0,moth_beans
103.05,58.46,71.11,6.3,863.91,28.56,49.85,clay,long_rains,coastal,0,cotton
2.0,123.0,205.0,5.74,124.98,22.37,90.79,silty,transitional,highland,1,apple
178.31,60.59,151.48,7.1,1806.25,31.73,68.91,clay,long_rains,sub_humid,1,sugarcane
97.0,22.0,50.0,6.77,58.98,26.26,86.15,loamy,dry,sub_humid,1,watermelon
17.0,64.0,16.0,7.16,180.72,30.98,32.25,loamy,short_rains,sub_humid,0,pigeon_peas
57.57,45.19,79.89,6.4,892.64,27.95,73.64,loamy,long_rains,coastal,0,cassava
29.93,62.47,42.41,6.6,359.77,19.61,43.21,clay,transitional,semi_arid,1,lentils
29.0,122.0,196.0,5.64,73.07,41.95,81.16,sandy,dry,semi_arid,1,grapes
65.23,42.06,39.73,6.4,484.97,29.77,47.38,sandy,dry,arid,1,sorghum
93.33,56.42,47.15,6.3,652.31,21.57,66.2,loamy,long_rains,highland,0,maize
79.34,37.79,39.2,6.9,596.05,16.46,56.24,clay,dry,highland,0,wheat
72.39,42.17,37.97,6.1,444.22,28.1,45.16,sandy,dry,semi_arid,1,sorghum
68.79,57.32,72.43,6.6,544.63,27.65,44.43,sandy,dry,sub_humid,1,sunflower
34.0,65.0,19.0,5.94,45.4,23.44,63.22,clay,dry,semi_arid,0,lentils
151.74,44.67,77.56,5.8,2279.84,16.37,78.53,silty,long_rains,highland,0,tea
60.4,55.67,104.63,6.2,543.78,24.61,70.68,loamy,short_rains,sub_humid,0,sweetpotato
123.73,50.24,45.86,6.0,1959.88,26.93,89.4,silty,long_rains,sub_humid,0,rice
65.0,62.0,51.0,6.51,207.07,31.53,90.87,loamy,transitional,sub_humid,0,papaya
74.01,61.93,97.61,6.1,567.03,26.0,65.34,sandy,short_rains,highland,0,sweetpotato
95.34,58.56,52.03,6.8,739.75,22.77,65.81,silty,long_rains,sub_humid,0,maize
6.0,63.0,23.0,5.91,160.33,26.02,49.95,loamy,long_rains,semi_arid,0,pigeon_peas
52.0,63.0,19.0,6.93,67.53,29.59,68.32,clay,transitional,coastal,0,blackgram
98.68,66.31,99.44,6.1,481.76,22.02,54.08,loamy,dry,highland,1,onion
54.0,61.0,77.0,6.21,77.54,18.81,15.22,sandy,transitional,semi_arid,0,chickpea
52.76,34.52,34.66,6.4,320.11,29.37,45.43,sandy,short_rains,arid,0,millet
32.0,48.0,18.0,5.99,64.16,26.46,56.4,sandy,short_rains,semi_arid,1,moth_beans
28.0,76.0,82.0,6.65,83.76,20.57,14.26,sandy,dry,highland,1,chickpea
34.0,65.0,48.0,6.67,199.31,41.42,90.04,sandy,transitional,sub_humid,0,papaya
61.0,44.0,17.0,6.93,102.27,26.1,71.57,silty,short_rains,sub_humid,0,maize
80.95,54.0,71.88,7.3,834.95,30.34,53.15,loamy,transitional,semi_arid,0,mango
74.62,46.22,44.89,6.5,515.63,15.96,54.07,clay,dry,highland,1,wheat
68.99,56.33,102.31,5.9,619.62,24.6,68.47,loamy,long_rains,sub_humid,0,sweetpotato
121.91,46.54,47.52,6.7,2122.2,28.58,84.31,clay,long_rains,sub_humid,1,rice
73.68,54.82,103.53,5.9,550.49,22.29,67.38,loamy,long_rains,sub_humid,0,sweetpotato
122.79,59.43,42.23,6.0,1729.01,29.78,88.6,silty,long_rains,coastal,1,rice
81.0,41.0,38.0,7.52,200.91,22.68,83.73,clay,long_rains,coastal,0,rice
2.0,36.0,31.0,5.73,91.78,30.9,49.96,sandy,dry,coastal,0,mango
105.26,61.79,70.47,7.4,745.51,25.22,53.99,clay,long_rains,coastal,0,cotton
36.0,57.0,16.0,8.29,57.03,28.61,57.14,sandy,short_rains,arid,0,moth_beans
173.52,63.14,180.52,5.7,1247.5,25.39,79.87,clay,long_rains,coastal,0,banana
31.0,56.0,23.0,5.66,174.57,31.47,35.39,sandy,long_rains,semi_arid,0,pigeon_peas
177.98,57.57,193.09,6.7,1292.36,28.59,79.34,clay,long_rains,sub_humid,0,banana
63.82,35.73,33.14,6.7,352.35,33.0,38.41,sandy,dry,arid,0,millet
30.2,61.12,45.79,7.7,358.99,20.05,44.75,clay,transitional,highland,0,lentils
118.0,50.0,19.0,6.36,66.48,22.96,82.34,clay,long_rains,coastal,0,cotton
65.74,57.03,108.66,6.6,591.1,27.57,66.15,loamy,short_rains,highland,0,sweetpotato
168.57,57.6,185.9,6.6,1281.06,24.74,81.38,clay,long_rains,sub_humid,1,banana
32.95,64.28,67.2,6.6,775.16,26.87,60.27,loamy,long_rains,coastal,0,groundnut
113.51,55.12,47.72,5.9,664.54,23.23,70.74,loamy,short_rains,highland,1,maize
36.37,74.72,53.66,6.5,551.61,20.03,67.34,loamy,short_rains,highland,0,beans
97.6,84.27,134.18,6.6,553.96,22.44,59.54,silty,dry,highland,1,tomato
55.66,52.01,78.58,5.9,927.37,26.92,73.12,sandy,long_rains,coastal,0,cassava
37.0,23.0,28.0,5.74,224.32,25.61,94.31,sandy,long_rains,coastal,0,coconut
103.85,52.98,50.09,5.9,740.22,23.93,68.46,loamy,long_rains,sub_humid,1,maize
95.0,13.0,46.0,6.13,23.28,29.84,93.76,loamy,dry,sub_humid,1,muskmelon
105.67,53.15,50.26,6.8,777.95,20.83,68.58,silty,short_rains,sub_humid,0,maize
126.49,66.22,109.73,7.2,633.99,17.49,66.17,clay,long_rains,highland,1,cabbage
66.6,42.28,43.84,6.2,417.04,28.47,44.79,loamy,short_rains,arid,0,sorghum
28.04,51.5,41.48,5.9,543.93,17.67,46.77,loamy,transitional,semi_arid,0,chickpea
66.92,48.83,65.7,7.2,606.64,26.31,48.99,sandy,short_rains,semi_arid,0,sunflower
142.15,42.53,76.75,4.8,2372.38,19.0,79.78,silty,long_rains,highland,0,tea
173.93,53.05,191.63,6.1,1547.28,27.45,78.89,loamy,long_rains,sub_humid,1,banana
138.83,46.41,69.54,4.7,1842.68,16.56,86.24,loamy,long_rains,highland,0,tea
34.1,58.19,49.86,7.3,615.46,20.88,61.25,loamy,short_rains,sub_humid,1,beans
50.13,37.44,33.72,5.7,335.23,34.76,39.71,sandy,dry,semi_arid,0,millet
146.96,41.53,78.08,4.8,1908.35,15.22,83.79,silty,long_rains,highland,1,tea
121.91,81.89,117.28,5.0,670.4,13.74,72.47,silty,long_rains,highland,1,potato
73.78,44.5,39.76,6.3,544.26,17.01,52.38,clay,dry,highland,0,wheat
106.0,70.0,55.0,5.74,116.3,25.87,78.52,clay,long_rains,coastal,0,banana
105.93,83.22,121.01,6.5,489.33,21.04,68.97,loamy,dry,highland,0,tomato
174.58,62.26,178.33,6.7,1478.26,24.21,79.83,loamy,long_rains,coastal,0,banana
27.0,30.0,31.0,5.72,148.84,28.99,90.74,sandy,long_rains,coastal,1,coconut
91.0,84.0,52.0,6.39,117.54,29.15,78.71,clay,long_rains,coastal,0,banana
98.42,63.25,111.73,6.9,386.83,21.08,58.67,loamy,dry,semi_arid,1,onion
54.46,38.87,33.02,7.0,308.78,30.89,36.12,sandy,short_rains,semi_arid,0,millet
126.0,50.0,19.0,6.63,78.58,24.69,81.74,clay,long_rains,sub_humid,1,cotton
86.62,44.54,44.78,7.5,635.8,19.45,50.54,loamy,dry,highland,0,wheat
56.61,40.0,38.45,6.3,327.56,28.98,33.24,sandy,dry,semi_arid,0,millet
22.0,78.0,76.0,8.62,76.32,17.85,19.09,loamy,dry,highland,0,chickpea
26.49,53.33,49.36,6.0,496.87,21.51,50.06,sandy,transitional,highland,1,chickpea
102.0,46.0,19.0,6.63,81.5,22.77,82.6,loamy,long_rains,coastal,0,cotton
122.36,59.87,46.56,6.2,1954.14,26.45,85.58,clay,long_rains,coastal,1,rice
30.44,70.44,51.34,7.4,532.35,21.18,60.65,loamy,short_rains,sub_humid,0,beans
184.9,59.98,145.01,7.4,1659.28,28.4,73.65,loamy,long_rains,coastal,0,sugarcane
95.0,12.0,51.0,6.68,44.22,25.76,84.17,sandy,short_rains,semi_arid,1,watermelon
2.0,24.0,34.0,6.47,94.76,28.89,54.81,sandy,dry,semi_arid,1,mango
37.5,60.1,65.61,5.8,698.2,30.35,60.79,loamy,long_rains,sub_humid,1,groundnut
107.55,81.14,129.51,6.2,582.92,20.29,59.04,loamy,transitional,sub_humid,0,tomato
11.0,78.0,22.0,5.94,112.66,23.9,22.74,loamy,short_rains,highland,0,kidney_beans
81.0,49.0,20.0,5.51,104.23,18.04,60.61,loamy,long_rains,sub_humid,0,maize
111.17,80.14,126.48,6.9,519.35,24.47,61.03,loamy,transitional,highland,1,tomato
48.0,62.0,47.0,6.8,174.4,25.35,93.03,sandy,long_rains,coastal,1,papaya
25.25,68.2,55.88,6.1,551.19,21.1,58.62,loamy,short_rains,sub_humid,0,beans
29.0,25.0,35.0,5.54,160.73,28.36,91.65,loamy,long_rains,coastal,0,coconut
87.0,14.0,48.0,6.61,29.11,29.69,92.59,loamy,dry,semi_arid,1,muskmelon
96.0,53.11,50.47,6.6,600.42,23.54,66.79,loamy,long_rains,highland,0,maize
29.29,56.91,45.01,5.5,552.65,19.62,54.4,sandy,transitional,semi_arid,0,chickpea
122.85,62.2,96.87,6.5,1386.95,20.47,74.97,silty,long_rains,highland,1,coffee
90.0,14.0,52.0,6.39,59.68,24.85,89.2,sandy,short_rains,sub_humid,1,watermelon
36.0,11.0,13.0,7.19,112.72,17.34,93.05,loamy,long_rains,sub_humid,0,orange
33.86,64.13,50.17,7.1,570.93,22.03,61.08,loamy,long_rains,highland,0,beans
67.63,55.59,91.62,6.1,608.65,26.56,70.69,sandy,short_rains,highland,0,sweetpotato
83.0,38.0,35.0,7.19,136.73,25.71,52.89,silty,long_rains,highland,0,coffee
104.0,73.0,46.0,6.28,90.45,29.14,80.12,clay,long_rains,coastal,0,banana
69.08,56.78,105.16,6.7,614.43,25.02,68.72,sandy,short_rains,highland,0,sweetpotato
32.1,71.07,55.81,6.7,529.73,21.84,64.56,loamy,long_rains,highland,1,beans
65.11,40.2,72.45,6.3,936.84,27.44,69.92,loamy,long_rains,coastal,0,cassava
183.36,54.06,131.45,6.7,1610.84,29.68,74.01,loamy,long_rains,sub_humid,1,sugarcane
61.29,38.16,76.59,6.2,897.03,28.88,71.85,sandy,long_rains,sub_humid,0,cassava
122.56,64.0,97.75,5.7,1601.44,18.88,73.01,loamy,long_rains,highland,0,coffee
92.62,56.17,50.98,6.9,749.29,22.74,69.43,loamy,short_rains,sub_humid,1,maize
59.31,41.1,85.62,6.2,911.53,24.62,74.51,sandy,long_rains,coastal,0,cassava
151.47,50.26,77.1,5.4,2122.16,18.22,80.46,silty,long_rains,highland,0,tea
31.61,51.38,48.69,6.2,564.41,19.83,50.03,loamy,transitional,highland,0,chickpea
147.78,42.23,83.08,5.6,2080.32,15.56,81.79,silty,long_rains,highland,0,tea
94.0,70.0,48.0,6.2,91.46,25.14,84.88,loamy,long_rains,coastal,0,banana
32.0,25.0,35.0,5.89,107.01,18.1,85.71,loamy,transitional,arid,1,pomegranate
85.0,21.0,52.0,6.08,23.7,29.63,90.1,loamy,dry,semi_arid,1,muskmelon
96.74,52.65,51.72,6.7,714.78,22.92,71.31,silty,short_rains,highland,1,maize
7.0,60.0,25.0,6.4,56.05,28.28,82.76,sandy,transitional,sub_humid,1,mung_bean
95.16,62.48,98.74,6.6,451.36,21.53,51.93,sandy,dry,highland,1,onion
155.01,43.38,75.47,5.5,2020.8,17.33,77.93,loamy,long_rains,highland,0,tea
171.18,69.44,130.2,7.2,1416.81,28.32,72.96,loamy,long_rains,coastal,1,sugarcane
78.56,52.95,72.78,6.5,734.5,29.35,54.29,sandy,transitional,coastal,0,mango
128.02,75.21,99.11,6.6,635.4,15.07,64.65,loamy,short_rains,highland,1,cabbage
39.0,71.0,84.0,8.14,82.52,20.28,16.4,sandy,transitional,semi_arid,0,chickpea
87.02,52.86,46.66,5.9,713.97,21.73,60.83,silty,short_rains,highland,0,maize
138.21,72.24,97.2,7.5,608.48,14.67,71.34,clay,short_rains,highland,0,cabbage
11.0,72.0,22.0,6.84,172.4,29.38,44.82,sandy,long_rains,semi_arid,0,pigeon_peas
57.0,64.0,55.0,6.58,62.51,26.68,92.96,loamy,transitional,sub_humid,0,papaya
19.0,57.0,23.0,7.34,141.13,23.67,47.29,sandy,long_rains,sub_humid,0,pigeon_peas
120.03,66.8,106.43,6.0,1671.78,18.57,77.71,loamy,long_rains,highland,0,coffee
24.0,45.0,19.0,5.95,34.74,26.86,48.82,sandy,dry,arid,0,moth_beans
55.95,43.71,34.04,6.1,322.83,30.14,38.33,sandy,short_rains,arid,0,millet
4.0,47.0,20.0,4.19,72.19,25.98,64.96,sandy,short_rains,arid,0,moth_beans
126.0,46.0,25.0,6.76,60.8,24.44,81.7,loamy,long_rains,coastal,0,cotton
66.28,41.89,40.2,6.9,471.78,28.88,42.03,loamy,short_rains,arid,0,sorghum
155.24,43.83,76.34,5.2,2048.55,17.48,80.66,silty,long_rains,highland,0,tea
1.0,124.0,199.0,5.66,112.67,23.71,93.27,silty,dry,highland,0,apple
31.87,64.81,51.42,6.3,522.14,21.5,59.47,loamy,long_rains,highland,1,beans
29.0,139.0,205.0,6.16,116.69,23.64,93.74,loamy,dry,highland,1,apple
123.63,62.39,108.53,5.8,1734.81,19.64,76.14,loamy,long_rains,highland,0,coffee
122.95,50.49,43.49,5.8,2082.91,25.27,84.83,clay,long_rains,coastal,1,rice
72.34,45.32,64.79,7.2,894.88,28.04,50.56,sandy,transitional,coastal,1,mango
98.0,7.0,45.0,6.16,26.85,27.79,92.51,sandy,transitional,semi_arid,0,muskmelon
125.55,51.74,45.96,5.8,1772.16,25.44,87.47,clay,long_rains,sub_humid,1,rice
135.51,68.5,117.33,7.4,638.81,17.1,69.04,loamy,long_rains,highland,1,cabbage
180.52,64.86,183.21,6.3,1714.23,25.11,81.26,loamy,long_rains,sub_humid,1,banana
60.0,36.0,43.0,5.29,219.9,23.43,83.06,clay,long_rains,sub_humid,1,rice
96.0,54.0,22.0,6.96,83.21,25.7,61.33,silty,long_rains,highland,1,maize
90.55,55.41,46.74,6.9,688.69,23.5,68.16,loamy,long_rains,highland,0,maize
70.41,47.24,35.99,6.9,415.89,29.15,43.82,loamy,dry,arid,1,sorghum
26.09,62.24,44.89,7.5,426.29,18.37,50.12,loamy,transitional,semi_arid,1,lentils
23.34,55.63,47.05,6.6,489.96,19.13,48.97,sandy,transitional,highland,0,chickpea
35.0,64.0,15.0,6.5,69.53,28.47,63.54,loamy,short_rains,coastal,1,blackgram
111.79,57.12,46.65,7.0,1919.4,28.17,90.3,silty,long_rains,coastal,1,rice
173.89,64.6,193.44,6.4,1437.67,26.56,78.18,clay,long_rains,sub_humid,0,banana
57.65,39.41,35.87,5.8,272.93,30.78,37.28,sandy,dry,arid,0,millet
128.25,58.07,109.7,6.5,1622.24,22.05,71.21,silty,long_rains,highland,1,coffee
109.0,21.0,55.0,6.77,57.45,24.9,89.74,sandy,dry,sub_humid,1,watermelon
28.0,68.0,19.0,7.7,72.43,34.64,61.39,clay,short_rains,sub_humid,1,blackgram
35.0,64.0,78.0,7.5,85.37,17.93,14.27,sandy,transitional,semi_arid,0,chickpea
22.0,138.0,195.0,6.21,73.03,27.83,83.51,loamy,dry,semi_arid,0,grapes
40.0,64.0,47.0,6.89,71.74,32.5,93.48,loamy,transitional,sub_humid,0,papaya
75.31,45.3,38.79,7.1,472.53,29.14,47.55,sandy,dry,arid,1,sorghum
33.44,63.87,63.3,6.3,684.37,27.83,59.61,loamy,long_rains,coastal,1,groundnut
99.0,38.0,21.0,6.35,67.73,22.88,71.6,loamy,long_rains,highland,0,maize
97.78,54.11,48.61,6.2,700.93,20.3,65.26,silty,short_rains,sub_humid,0,maize
28.07,59.84,47.73,6.1,342.34,21.1,47.97,clay,dry,highland,0,lentils
75.96,49.03,64.18,6.6,846.33,29.82,52.73,sandy,dry,coastal,0,mango
14.0,67.0,15.0,5.69,139.29,19.56,24.67,silty,short_rains,highland,1,kidney_beans
9.0,11.0,8.0,6.56,111.78,24.86,94.39,loamy,long_rains,highland,0,orange
25.76,58.77,38.87,7.4,417.0,19.73,47.2,loamy,transitional,highland,0,lentils
129.65,69.28,111.73,6.5,658.88,17.89,66.37,loamy,long_rains,highland,1,cabbage
39.0,16.0,27.0,4.93,91.55,35.54,52.95,loamy,dry,semi_arid,0,mango
9.0,143.0,197.0,5.57,117.66,23.75,92.88,silty,dry,highland,1,apple
27.72,60.15,51.05,7.3,600.84,21.59,68.99,silty,short_rains,highland,0,beans
171.53,56.26,138.31,7.4,1583.19,30.32,75.27,loamy,long_rains,coastal,0,sugarcane
193.19,59.4,141.75,5.6,1576.53,30.68,68.13,clay,long_rains,sub_humid,1,sugarcane
100.0,61.11,107.33,7.2,451.66,20.04,54.74,sandy,dry,semi_arid,1,onion
79.86,48.53,35.58,7.4,513.4,18.38,56.4,loamy,dry,highland,1,wheat
71.0,35.0,24.0,5.83,67.97,22.27,59.52,loamy,short_rains,sub_humid,1,maize
189.9,59.55,151.0,7.2,1601.34,28.26,66.66,loamy,long_rains,sub_humid,0,sugarcane
25.22,61.68,41.79,7.6,413.33,20.4,46.68,loamy,dry,semi_arid,0,lentils
5.0,68.0,20.0,5.0,139.87,18.73,61.33,loamy,short_rains,semi_arid,0,pigeon_peas
123.68,54.96,47.55,5.8,1750.14,26.41,83.52,silty,long_rains,coastal,0,rice
60.44,38.93,38.74,6.4,426.88,27.78,40.05,loamy,dry,semi_arid,1,sorghum
17.0,52.0,17.0,6.36,44.64,27.88,86.45,loamy,transitional,sub_humid,0,mung_bean
198.97,54.15,138.06,7.5,1465.61,29.93,70.21,clay,long_rains,sub_humid,1,sugarcane
96.16,57.87,51.2,6.9,711.92,24.11,67.56,silty,short_rains,sub_humid,1,maize
33.48,64.49,54.15,6.0,532.58,20.2,59.38,silty,long_rains,highland,1,beans
196.05,55.0,133.03,7.1,1789.63,30.78,74.62,clay,long_rains,sub_humid,1,sugarcane
60.0,46.0,53.0,6.76,183.49,24.49,92.98,sandy,transitional,sub_humid,1,papaya
101.0,92.0,45.0,5.76,98.0,28.23,80.64,clay,long_rains,coastal,0,banana
160.09,39.01,79.93,4.7,2065.57,17.42,82.94,silty,long_rains,highland,0,tea
29.53,63.42,60.08,6.9,593.5,20.77,65.37,loamy,short_rains,highland,1,beans
33.56,61.52,51.04,7.4,585.8,22.8,58.79,loamy,long_rains,sub_humid,0,beans
72.88,58.76,70.18,7.1,678.48,26.1,46.09,sandy,short_rains,semi_arid,0,sunflower
67.88,46.99,78.32,7.1,592.91,28.03,47.72,loamy,short_rains,semi_arid,0,sunflower
159.74,48.49,79.61,4.7,1873.03,17.52,78.51,loamy,long_rains,highland,1,tea
119.16,75.69,105.39,6.6,643.05,15.31,64.64,clay,long_rains,highland,0,cabbage
32.07,56.25,53.19,7.3,529.85,21.8,61.57,silty,long_rains,highland,0,beans
59.68,42.89,76.55,6.6,797.53,25.7,70.05,sandy,long_rains,sub_humid,0,cassava
2.0,75.0,22.0,6.66,52.56,23.89,61.79,loamy,transitional,highland,1,lentils
101.41,64.4,111.56,6.8,394.54,17.16,52.59,loamy,dry,highland,1,onion
174.43,53.24,213.02,6.8,1803.0,23.75,82.7,loamy,long_rains,coastal,1,banana
101.43,49.84,48.84,6.3,639.39,22.67,61.88,loamy,long_rains,highland,0,maize
67.74,45.81,34.83,7.1,537.89,28.07,45.07,sandy,dry,arid,0,sorghum
111.53,64.11,42.89,6.6,2054.95,27.51,85.19,silty,long_rains,coastal,1,rice
115.13,51.49,47.87,6.9,726.69,23.77,64.19,silty,short_rains,highland,0,maize
171.16,56.67,196.23,6.0,1614.88,28.51,81.2,loamy,long_rains,sub_humid,0,banana
95.0,74.0,50.0,6.0,110.1,25.9,80.47,clay,long_rains,coastal,0,banana
118.02,55.34,45.67,6.6,1989.34,26.59,80.76,silty,long_rains,sub_humid,1,rice
26.0,24.0,34.0,6.81,89.74,31.27,52.24,loamy,transitional,semi_arid,1,mango
126.23,62.17,112.86,5.6,1481.0,18.79,74.11,silty,long_rains,highland,0,coffee
87.53,45.29,38.75,7.1,562.86,14.75,55.86,clay,dry,highland,1,wheat
17.0,73.0,18.0,5.63,197.38,19.5,34.51,loamy,short_rains,sub_humid,0,pigeon_peas
21.59,56.76,42.53,7.6,374.87,17.74,53.06,clay,transitional,highland,1,lentils
131.79,62.04,105.71,6.1,1630.13,17.32,73.02,loamy,long_rains,highland,0,coffee
38.81,65.0,60.65,6.1,757.31,28.98,61.92,loamy,long_rains,sub_humid,0,groundnut
15.0,77.0,20.0,7.4,49.04,25.13,66.93,loamy,transitional,semi_arid,0,lentils
88.0,46.0,42.0,6.6,194.27,22.68,83.46,silty,long_rains,sub_humid,0,rice
64.02,41.46,76.39,6.6,960.9,27.54,73.31,loamy,long_rains,coastal,1,cassava
119.18,68.27,111.19,5.5,1622.67,20.0,76.01,loamy,long_rains,highland,0,coffee
38.0,56.0,25.0,7.88,67.43,25.74,45.38,sandy,dry,semi_arid,0,moth_beans
93.65,74.39,126.76,6.4,590.46,23.35,59.61,silty,transitional,sub_humid,1,tomato
38.72,64.3,69.33,5.9,702.78,29.24,58.56,loamy,long_rains,sub_humid,0,groundnut
176.51,57.6,190.17,6.8,1330.18,25.67,78.84,clay,long_rains,coastal,1,banana
194.3,60.16,134.48,6.4,1777.27,31.67,67.76,clay,long_rains,sub_humid,1,sugarcane
